 File  .text     Size                                           Crate Name
 0.4%   0.6% 128.7KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_155::ere_match_struct_155::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 128.4KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_156::ere_match_struct_156::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 128.2KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_157::ere_match_struct_157::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 125.2KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_158::ere_match_struct_158::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 124.9KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_85::ere_match_struct_85::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 123.7KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_69::ere_match_struct_69::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 123.4KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_66::ere_match_struct_66::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 123.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_67::ere_match_struct_67::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 119.6KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_148::ere_match_struct_148::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 119.4KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_153::ere_match_struct_153::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 118.4KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_143::ere_match_struct_143::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 118.4KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_144::ere_match_struct_144::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.6% 117.5KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_145::ere_match_struct_145::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 112.4KiB                                  regex_automata regex_automata::meta::strategy::new
 0.4%   0.5% 112.2KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_149::ere_match_struct_149::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 112.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_150::ere_match_struct_150::ENGINE_BYTES::exec::transition_epsilons_exec
 0.4%   0.5% 111.9KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_151::ere_match_struct_151::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.5% 105.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_60::ere_match_struct_60::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.5%  99.2KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_65::ere_match_struct_65::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.5%  98.6KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_35::ere_match_struct_35::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.5%  98.5KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_34::ere_match_struct_34::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.5%  98.2KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_36::ere_match_struct_36::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  86.0KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_178::ere_match_struct_178::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  81.8KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_179::ere_match_struct_179::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  81.8KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_163::ere_match_struct_163::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  81.7KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_167::ere_match_struct_167::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  81.6KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_164::ere_match_struct_164::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  81.6KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_168::ere_match_struct_168::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  81.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_165::ere_match_struct_165::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  81.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_169::ere_match_struct_169::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  81.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_83::ere_match_struct_83::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  81.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_88::ere_match_struct_88::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  81.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_82::ere_match_struct_82::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  81.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_87::ere_match_struct_87::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  80.9KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_84::ere_match_struct_84::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  80.8KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_89::ere_match_struct_89::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  79.9KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_91::ere_match_struct_91::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  79.0KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_90::ere_match_struct_90::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  75.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_171::ere_match_struct_171::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.4%  75.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_175::ere_match_struct_175::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.4%  75.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_172::ere_match_struct_172::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.4%  75.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_176::ere_match_struct_176::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.4%  74.9KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_173::ere_match_struct_173::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.4%  74.8KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_177::ere_match_struct_177::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.3%  70.7KiB                                              s4 s4::s4::processing_loop
 0.2%   0.3%  67.9KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_19::ere_match_struct_19::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.3%  66.7KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_25::ere_match_struct_25::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.3%  66.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_31::ere_match_struct_31::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.3%  61.0KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_56::ere_match_struct_56::ENGINE_BYTES::exec::transition_epsilons_exec
