 File  .text     Size                     Crate Name
 0.0%   0.0%     811B                     s4lib s4lib::libload::systemd_dlopen2::set_systemd_journal_api
 0.0%   0.0%     788B                     s4lib s4lib::readers::syslogprocessor::SyslogProcessor::set_error
 0.0%   0.0%     788B                     s4lib s4lib::readers::fixedstructreader::FixedStructReader::set_error
 0.0%   0.0%     736B                     s4lib s4lib::readers::filedecompressor::remove_temporary_files
 0.0%   0.0%     682B                     s4lib s4lib::python::venv::venv_path
 0.0%   0.0%     641B                     s4lib s4lib::printer::printers::write_stdout
 0.0%   0.0%     611B                     s4lib s4lib::printer::printers::fpath_to_prependname
 0.0%   0.0%     511B                     s4lib s4lib::printer::printers::fpath_to_prependpath
 0.0%   0.0%     507B                     s4lib s4lib::readers::blockreader::BlockReader::mtime
 0.0%   0.0%     473B                     s4lib s4lib::printer::summary::SummaryPrinted::summaryprint_map_update_pyevent
 0.0%   0.0%     462B                     s4lib s4lib::data::line::Line::append
 0.0%   0.0%     449B                     s4lib s4lib::readers::blockreader::BlockReader::blocksz_at_blockoffset
 0.0%   0.0%     436B                     s4lib s4lib::python::pyrunner::PyRunner::stderr_all
 0.0%   0.0%     398B                     s4lib s4lib::printer::summary::SummaryPrinted::summaryprint_map_update_sysline
 0.0%   0.0%     382B                     s4lib s4lib::data::line::Line::prepend
 0.0%   0.0%     377B                     s4lib s4lib::printer::summary::SummaryPrinted::summaryprint_map_update_journalentry
 0.0%   0.0%     377B                     s4lib s4lib::printer::summary::SummaryPrinted::summaryprint_map_update_evtx
 0.0%   0.0%     377B                     s4lib s4lib::printer::summary::SummaryPrinted::summaryprint_map_update_fixedstruct
 0.0%   0.0%     364B                     s4lib <s4lib::common::FileType as core::fmt::Display>::fmt
 0.0%   0.0%     362B                     s4lib s4lib::readers::syslinereader::SyslineReader::dt_patterns_indexes_refresh
 0.0%   0.0%     360B                     s4lib s4lib::readers::journalreader::JournalReader::get_monotonic_usec
 0.0%   0.0%     328B                     s4lib s4lib::common::err_from_err_path
 0.0%   0.0%     313B                     s4lib <s4lib::data::line::LinePart as core::fmt::Debug>::fmt
 0.0%   0.0%     294B                     s4lib s4lib::readers::journalreader::JournalReader::Error_from_Errno
 0.0%   0.0%     278B                     s4lib s4lib::readers::syslinereader::SyslineReader::is_sysline_last
 0.0%   0.0%     255B                     s4lib s4lib::python::pyrunner::PyRunner::run_once
 0.0%   0.0%     255B                     s4lib core::slice::sort::stable::driftsort_main
 0.0%   0.0%     255B                     s4lib core::slice::sort::stable::driftsort_main
 0.0%   0.0%     255B                     s4lib core::slice::sort::stable::driftsort_main
 0.0%   0.0%     255B                     s4lib core::slice::sort::stable::driftsort_main
 0.0%   0.0%     253B                     s4lib std::io::buffered::bufwriter::BufWriter<W>::write_all_cold
 0.0%   0.0%     230B                     s4lib s4lib::printer::printers::color_theme_to_index
 0.0%   0.0%     220B                     s4lib s4lib::readers::filedecompressor::count_temporary_files
 0.0%   0.0%     220B                     s4lib core::slice::sort::stable::driftsort_main
 0.0%   0.0%     186B                     s4lib alloc::raw_vec::RawVec<T,A>::grow_one
 0.0%   0.0%     186B                     s4lib alloc::raw_vec::RawVec<T,A>::grow_one
 0.0%   0.0%     186B                     s4lib alloc::raw_vec::RawVec<T,A>::grow_one
 0.0%   0.0%     183B                     s4lib alloc::raw_vec::RawVec<T,A>::grow_one
 0.0%   0.0%     182B                     s4lib alloc::raw_vec::RawVec<T,A>::grow_one
 0.0%   0.0%     182B                     s4lib alloc::raw_vec::RawVec<T,A>::grow_one
 0.0%   0.0%     182B                     s4lib alloc::raw_vec::RawVec<T,A>::grow_one
 0.0%   0.0%     182B                     s4lib alloc::raw_vec::RawVec<T,A>::grow_one
 0.0%   0.0%     182B                     s4lib alloc::raw_vec::RawVec<T,A>::grow_one
 0.0%   0.0%     182B                     s4lib alloc::raw_vec::RawVec<T,A>::grow_one
 0.0%   0.0%     182B                     s4lib alloc::raw_vec::RawVec<T,A>::grow_one
 0.0%   0.0%     179B                     s4lib alloc::raw_vec::RawVec<T,A>::grow_one
 0.0%   0.0%     178B                     s4lib alloc::raw_vec::RawVec<T,A>::grow_one
 0.0%   0.0%     164B                     s4lib s4lib::data::journal::datetimelopt_to_realtime_timestamp_opt
 0.0%   0.0%     160B                     s4lib s4lib::readers::helpers::path_filesz
 0.0%   0.0%     152B                     s4lib s4lib::readers::blockreader::BlockReader::new::read_multibyte_integer
 0.0%   0.0%     150B                     s4lib s4lib::data::sysline::Sysline::fileoffset_end
 0.0%   0.0%     148B                     s4lib s4lib::readers::summary::Summary::blockreader
 0.0%   0.0%     143B                     s4lib alloc::sync::Arc<T,A>::drop_slow
 0.0%   0.0%     142B                     s4lib alloc::sync::Arc<T,A>::drop_slow
 0.0%   0.0%     137B                     s4lib alloc::sync::Arc<T,A>::drop_slow
 0.0%   0.0%     136B                     s4lib s4lib::data::sysline::Sysline::ends_with_newline
 0.0%   0.0%     129B                     s4lib alloc::sync::Arc<T,A>::drop_slow
 0.0%   0.0%     128B                     s4lib s4lib::readers::summary::Summary::has_blockreader
 0.0%   0.0%     128B                     s4lib alloc::collections::vec_deque::VecDeque<T,A>::grow
 0.0%   0.0%     128B                     s4lib std::io::buffered::bufwriter::BufWriter<W>::write_cold
 0.0%   0.0%     128B                     s4lib std::io::buffered::bufwriter::BufWriter<W>::write_cold
 0.0%   0.0%     126B                     s4lib s4lib::readers::blockreader::BlockReader::open_tar
 0.0%   0.0%     122B                     s4lib alloc::sync::Arc<T,A>::drop_slow
 0.0%   0.0%     120B                     s4lib s4lib::printer::summary::SummaryPrinted::summaryprint_update_sysline
 0.0%   0.0%     117B                     s4lib s4lib::data::line::LinePart::block_boxptr_b
 0.0%   0.0%     116B                     s4lib s4lib::readers::linereader::LineReader::is_fileoffset_last
 0.0%   0.0%     116B                     s4lib s4lib::readers::fixedstructreader::FixedStructReader::dt_first_last_update
 0.0%   0.0%     116B                     s4lib <s4lib::common::AllocatorChosen as core::fmt::Display>::fmt
 0.0%   0.0%     114B                     s4lib <s4lib::common::FileTypeArchive as core::fmt::Display>::fmt
 0.0%   0.0%     111B                     s4lib s4lib::printer::summary::SummaryPrinted::summaryprint_update_pyevent
 0.0%   0.0%     107B                     s4lib s4lib::readers::blockreader::BlockReader::filesz
 0.0%   0.0%      97B                     s4lib s4lib::printer::summary::SummaryPrinted::summaryprint_update_journalentry
 0.0%   0.0%      97B                     s4lib s4lib::printer::summary::SummaryPrinted::summaryprint_update_evtx
 0.0%   0.0%      97B                     s4lib s4lib::printer::summary::SummaryPrinted::summaryprint_update_fixedstruct
 0.0%   0.0%      96B                     s4lib alloc::sync::Arc<T,A>::drop_slow
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_openbsd_x86_lastlog
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_netbsd_x8664_utmpx
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_netbsd_x8664_utmp
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_netbsd_x8664_lastlogx
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_netbsd_x8664_lastlog
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_netbsd_x8632_utmpx
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_netbsd_x8632_lastlogx
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_netbsd_x8632_acct
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_linux_x86_utmpx
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_linux_x86_lastlog
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_linux_x86_acct_v3
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_linux_x86_acct
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_linux_arm64aarch64_utmpx
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_linux_arm64aarch64_lastlog
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::utmp as s4lib::data::fixedstruct::FixedStructTrait>::as_freebsd_x8664_utmpx
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::lastlog as s4lib::data::fixedstruct::FixedStructTrait>::as_openbsd_x86_utmp
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::lastlog as s4lib::data::fixedstruct::FixedStructTrait>::as_netbsd_x8664_utmpx
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::lastlog as s4lib::data::fixedstruct::FixedStructTrait>::as_netbsd_x8664_utmp
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::lastlog as s4lib::data::fixedstruct::FixedStructTrait>::as_netbsd_x8664_lastlogx
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::lastlog as s4lib::data::fixedstruct::FixedStructTrait>::as_netbsd_x8664_lastlog
 0.0%   0.0%      59B                     s4lib <s4lib::data::fixedstruct::openbsd_x86::lastlog as s4lib::data::fixedstruct::FixedStructTrait>::as_netbsd_x8632_utmpx
