 File  .text     Size                                           Crate Name
 0.3%   0.4%  98.4KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_143::ere_match_struct_143::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  98.2KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_142::ere_match_struct_142::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  98.0KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_144::ere_match_struct_144::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  95.2KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_149::ere_match_struct_149::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  95.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_148::ere_match_struct_148::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  94.8KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_150::ere_match_struct_150::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  88.5KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_174::ere_match_struct_174::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  88.5KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_170::ere_match_struct_170::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  88.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_175::ere_match_struct_175::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  88.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_171::ere_match_struct_171::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  88.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_176::ere_match_struct_176::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  88.0KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_172::ere_match_struct_172::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  84.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_35::ere_match_struct_35::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  84.0KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_34::ere_match_struct_34::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.4%  83.7KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_36::ere_match_struct_36::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.3%  81.8KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_82::ere_match_struct_82::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.3%  81.7KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_87::ere_match_struct_87::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.3%  81.6KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_81::ere_match_struct_81::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.3%  81.6KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_86::ere_match_struct_86::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.3%  81.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_83::ere_match_struct_83::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.3%  81.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_88::ere_match_struct_88::ENGINE_BYTES::exec::transition_epsilons_exec
 0.3%   0.3%  80.2KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_90::ere_match_struct_90::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.3%  79.7KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_178::ere_match_struct_178::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.3%  79.4KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_89::ere_match_struct_89::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.3%  79.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_162::ere_match_struct_162::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.3%  79.1KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_166::ere_match_struct_166::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.3%  78.9KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_163::ere_match_struct_163::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.3%  78.9KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_167::ere_match_struct_167::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.3%  78.7KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_164::ere_match_struct_164::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.3%  78.6KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_168::ere_match_struct_168::ENGINE_BYTES::exec::transition_epsilons_exec
 0.2%   0.3%  77.4KiB                                              s4 s4::s4::exec_fileprocessor_thread
 0.2%   0.3%  70.1KiB                                              s4 s4::s4::processing_loop
 0.2%   0.3%  69.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_177::ere_match_struct_177::ENGINE_BYTES::exec::transition_epsilons_exec
